task_achievement,coherence_and_cohesion,lexical_resource,grammatical_range,ID
6.682508291341132,6.665896286930653,6.124838466745467,6.331910995426306,1
2.529114596091336,2.4525868465592007,3.02624305580615,4.0813999148463935,2
5.615801660301909,4.89719752908066,4.961294703468151,5.145127120200112,3
6.0474098095859015,6.004353212589584,5.603808221253287,5.5821778482790965,4
6.7650769092902685,7.039785255755739,6.57511535740353,6.430083721210182,5
5.944105951098466,5.736918303363203,5.629778628081363,5.4742304947779665,6
6.301534343837294,6.258424896270555,5.942124983954909,5.797976781201297,7
6.8791155894632885,7.130819839686688,6.522474748370451,6.523141788620657,8
5.693406079135,5.3744187702342066,5.290167166265571,5.120008906759742,9
6.4699180390827475,6.299523579526224,5.992730603261709,5.9424960270193345,10
6.6051382272953125,6.66124425144817,6.352267556373645,6.26278963170314,11
6.573493180332714,6.643919149690271,6.209594006004777,6.076121575475829,12
6.849550548974007,6.894606073615425,6.379380912358744,6.29974999867301,13
7.31762206759468,7.554959377750277,6.8632442284836195,6.720751820857397,14
6.480109030278889,6.601765247795389,6.068874012575514,5.961634235897633,15
6.856267462417895,6.982136960603428,6.44394799955271,6.240439335124721,16
6.966918946554558,7.1939754365206365,6.694851825781323,6.645152580723625,17
6.244703652243943,6.12816135050056,5.830444849098776,5.859239617885256,18
6.6684428721118465,6.799144631904647,6.4081978656599565,6.189464476385489,19
6.622784513131507,6.704974791101853,6.193399252681033,6.135542422142217,20
6.770291079868064,6.755913542138658,6.404428285090403,6.374741098279905,21
6.162066687514696,6.179525799874836,5.739560215245057,5.7801916441796015,22
7.171619162586433,7.257185184173016,6.758497797599098,6.610272175893346,23
6.385931647066767,6.250355004794357,6.036316730333798,5.864991320784558,24
7.126270921436322,7.096008185563509,6.617163452466029,6.638924440888413,25
6.737442001507542,6.781813625772044,6.316567213957422,6.213019725978033,26
6.521145481682158,6.4242204459820975,6.054889437636384,6.0456303530757305,27
6.7735046804655425,6.883169190335341,6.284147192609843,6.113053094632096,28
6.685949970945618,6.62538755242046,6.196103000489594,6.149296942233306,29
7.320925412194353,7.539696743425544,6.859061871065127,6.69665254411741,30
6.97928221088207,7.04075838214704,6.494541915933682,6.442176730186347,31
7.096599465694657,7.225135756347794,6.642436675606133,6.5936626522435695,32
7.089569086083477,7.331606700777229,6.551300426995535,6.554901763226723,33
6.52840259721163,6.479181008194244,6.049514124906956,6.004303755533963,34
6.946928740151388,6.95734670735569,6.385316772019725,6.396099275391675,35
6.764397556273619,6.809924701875236,6.378955459641109,6.443219159140818,36
6.8449054833549265,6.956071797349032,6.429136946923729,6.487495903098698,37
6.1448244000788685,5.717414544146106,5.384615782813823,5.297260479825059,38
6.546803375627094,6.5968037014016945,6.197890145498784,6.242050941564853,39
7.023698275328718,6.82773340694456,6.290763745441928,6.199710753018292,40
7.18039635800275,7.449889747699624,6.770672589512645,6.756074252454271,41
7.068839208234754,7.217373541597235,6.737975049385833,6.578179665072431,42
6.309292033922589,6.12959715084613,5.805489705775105,5.734043301924128,43
6.989914287456901,7.035878753774002,6.4426868550270635,6.2454839942838705,44
6.482251449604516,5.933940863863212,5.976864484750223,5.887265106642163,45
6.960118881938511,7.003617936567411,6.480702131268522,6.435672821512563,46
7.215406959163833,7.399562725432428,6.740364270295986,6.572421918146154,47
7.058395458350265,7.356351569626739,6.693036859901971,6.553696863097576,48
7.007253338386679,7.17765501912828,6.5565284435151145,6.435367254906437,49
7.1212766253310775,7.3583998288927015,6.7317734163562815,6.762663490222283,50
7.034210756755414,7.116822402853755,6.652391093497922,6.641014863542391,51
6.857590604734089,7.014666254805444,6.43303939008959,6.236109825783237,52
7.111604945170123,7.173678546224329,6.615383925418914,6.579412818887458,53
7.2491202664974175,7.45944250555475,6.774598783787057,6.727959460373151,54
6.524411984475824,6.3623097582945185,6.034549319624596,5.9979831787972495,55
6.920149146667325,6.820334473644086,6.387265909817997,6.341176734435213,56
6.416358693735264,6.18978887977787,5.877877434736194,5.673086876417412,57
7.042004358813562,7.190873183959368,6.626422873765623,6.504852662083358,58
6.659292858411245,6.824890754444751,6.28850433088802,6.131903737622659,59
7.154450038404818,7.489515892970606,6.864132172647833,6.802696763657792,60
7.057926043156272,7.194584015128284,6.65127378771633,6.628885938180909,61
6.529400579442397,6.491110862350795,6.064406958125237,5.9688351250999165,62
6.749362536862126,6.755807680586978,6.264048329768425,6.122572842598732,63
6.700921996458001,6.665796313273966,6.239845783851947,6.1286099808388395,64
6.465226884043003,6.37571225742335,5.953737614186493,5.831804700729256,65
6.003045594372527,5.867254686765799,5.779043209907042,5.483911041999113,66
5.473453914419566,4.572523419742355,4.844782463769732,4.521329924313349,67
6.906065505583057,7.191719085954389,6.560014096129014,6.600177967147691,68
6.681607008047233,6.9352311571129,6.344383765115678,6.242270352987595,69
7.148484910612485,7.637577783627272,6.892519141547416,6.851209559885867,70
6.964112138207991,7.13817227548665,6.584607964466766,6.464899550201759,71
6.573228538500612,6.493732104751794,6.119219901711282,6.102490693750016,72
7.199766658837712,7.503285415238493,6.8732034718021495,6.852462900987023,73
7.07892682711835,7.334052383935579,6.7606446750204885,6.59114762127812,74
6.179281990990809,6.036280799272971,5.751797753519555,5.575220871322086,75
6.515367092354066,6.4345784997239015,6.185443351973245,5.950481273383436,76
6.824784972198167,6.941650678250776,6.494601484652126,6.275433266424814,77
6.644675822356743,6.656247532495388,6.191827605084404,6.083508221070113,78
6.3967873995839195,6.2876432254847145,5.980888567124157,5.860836448884182,79
7.185973516713525,7.3177309321241015,6.791529618981821,6.684790659986969,80
6.902116929961798,6.867681666870741,6.526316940974679,6.447654135843467,81
7.127437782162069,7.268605672343998,6.668416512551071,6.622147805030696,82
7.0798454509739885,7.25260669962897,6.657977320553192,6.59092406791713,83
7.068395550909674,7.0316191767484355,6.640697945113392,6.47758691456157,84
3.507143653307658,3.3327504699770483,3.8929737515154903,3.3236097764110104,85
6.374160319712741,6.358246694623095,5.966704267249536,5.901456501328987,86
6.942151829170726,7.097374820522985,6.508072383258402,6.470291369065153,87
5.936176872490216,5.47883165806389,5.337498310778315,5.145722407904924,88
6.709095877347722,6.812424228110468,6.277005182566279,6.1672370527323,89
6.409772989925405,6.088018045248872,5.657350207388108,5.446665909902581,90
7.180026209461272,7.385805018656881,6.781378792748695,6.745462902619727,91
6.566692224197258,6.3558562200985005,6.185512360041669,6.157682892878362,92
7.257255647736141,7.327595023017501,6.651905223268608,6.508563057711084,93
6.758556523668917,6.7972477621557825,6.289332836798977,6.217782633733256,94
7.1232061024789886,7.356622513657658,6.793096193611636,6.76995125969431,95
6.359901319675828,6.454818039901174,6.02815886093644,5.9654755853443735,96
7.120665510775505,7.136316403119056,6.540536978583967,6.517658554283297,97
6.793968131337664,6.9314001229188555,6.437126020179828,6.4831487861921335,98
6.898612633528538,7.135145124968881,6.56628302487808,6.499452135744786,99
6.704567956907732,6.803892439774498,6.169437253601973,6.235616090405784,100
6.758791911694249,6.953879903011911,6.346977204148437,6.298146756558159,101
6.474896907425936,6.462838478522842,5.9583219114035115,5.990380344519332,102
7.1703172594084865,7.35289473286863,6.6830409779136595,6.675237572729695,103
4.162943394402673,3.567915915406892,3.207453551946527,3.1038175655919678,104
6.761982577239603,6.943279232469953,6.42466362284943,6.3521783685762525,105
6.479186407210886,6.650648028575577,6.22217455741571,6.081369521563153,106
7.224587301420209,7.306900031627923,6.738984840748502,6.698049992868334,107
7.157967490643493,7.402095091505367,6.751806518348445,6.81736213238837,108
6.658335123432001,6.768052795334876,6.341664636851689,6.311799314991142,109
7.151888209063619,7.346371240695359,6.8035190455669845,6.809625857897287,110
7.393512356739707,7.527151389610055,6.908867853335407,6.880763578367982,111
0.8960323888804851,0.7134600312417572,1.2138243765928296,1.106144977396867,112
5.952191190586532,6.168688210793874,5.517351294366411,5.535538724117696,113
7.75906657295,7.815165844539539,7.155859829706098,7.135877950760711,114
6.989654136734519,7.185990799813328,6.551651433278709,6.511084871241149,115
6.799264416415066,6.931488734929395,6.365770315379823,6.363338347149739,116
6.966672027492517,7.1130556487930665,6.550094658069376,6.498254359722086,117
6.873739036630583,6.938855751297566,6.432093482586905,6.385493127000739,118
6.705568119966738,6.665789831854269,6.183365919009336,6.108553560846281,119
6.73592384415232,6.88199784527258,6.327237208050957,6.2318213824014075,120
6.990573555667269,7.113505748351892,6.5671019445853185,6.499208460849893,121
6.2759104115040705,6.055759976188309,5.81572533832556,5.626279338083716,122
7.1651667673759185,7.346514854461372,6.6707197359703345,6.641001150893895,123
5.608276567504551,5.0802603082472295,5.097202930691954,4.879737686976653,124
6.595646355931359,6.535666322758975,6.056635690597741,5.952274163966403,125
6.977232670848109,7.112388855654153,6.461916268883732,6.4070757862590915,126
6.812062424186435,6.88768635559032,6.410512181915916,6.288451416889736,127
7.017077976080886,7.1094045534655645,6.543799186594386,6.470795327600343,128
6.611567493391068,6.5457757612117256,6.179363303137056,6.0674943103846015,129
6.773306740060616,6.987716777034552,6.4188462181811765,6.375011429515201,130
6.870491607145354,7.0645491430443546,6.48613148998655,6.327224762563875,131
7.158056983834957,7.254282300936501,6.644202520440324,6.634898069303381,132
6.779254022228048,6.918508884303724,6.3678428689806195,6.317198839284677,133
6.229845842319846,6.142330995598931,5.850793540571129,5.767940460494821,134
6.6592816061129785,6.976257590388131,6.367238038228314,6.276118583864938,135
6.780209856698148,6.874681910058794,6.36621274126562,6.277933064172002,136
6.612002629712059,6.600950587122341,6.216498832286864,6.165543908998155,137
6.726640533611548,6.819831604923054,6.333491215630597,6.239610655456988,138
6.332296304938539,6.289291146739793,5.87039859646709,5.817223648290009,139
6.904513175389113,7.122264991335837,6.546915442495556,6.479496621650812,140
6.340065859392697,6.315006176804144,5.871612220451686,5.851581139755994,141
6.614207882853519,6.453719671405844,6.122899039490503,5.951042363975233,142
6.915994778424386,7.111539952450973,6.560300534481697,6.414907460970432,143
6.489439201368621,6.420263776971794,5.962043683994339,5.8720663471855215,144
6.748471107343754,6.94108992908788,6.366618516757941,6.359900787735957,145
6.790872838520887,6.840189435207739,6.410101687452846,6.253469058585967,146
6.757330986437069,6.804755855913011,6.358257471862965,6.215748304319427,147
6.8015115291014085,6.876867226854978,6.36213761516151,6.315241108717735,148
6.450845707883046,6.499831206313604,6.054644885860008,5.9324987786658925,149
6.857198167131329,6.934551909436381,6.4207147391568045,6.3955308133968405,150
6.765581007676255,6.854096751941835,6.307845621440029,6.289306818122838,151
6.8738260624692815,7.097634111982066,6.511559117318708,6.4208943427404375,152
7.133133789199735,7.285508982446147,6.645028214445124,6.611438904544502,153
6.9896589861618885,7.109858477359905,6.542455990522578,6.514650305865317,154
7.053356073693808,7.258121304492149,6.664707282786709,6.61769173197184,155
7.247140300364796,7.421667892194617,6.7785581753756325,6.690434035145926,156
6.6289780323468115,6.602501308834695,6.219327402662548,6.179785234681951,157
6.854451493850656,6.903342740790002,6.410221055686797,6.4131161503092455,158
6.882822372968656,7.053913474110297,6.499238144033288,6.408512675946352,159
5.951072876288137,5.725899658213189,5.4647702419372175,5.364807084702815,160
7.000375886044251,7.178022148905908,6.621344411573137,6.578894144780585,161
6.845101320796862,6.991901319098146,6.422856937595378,6.4719467487957765,162
6.98759537070167,7.212614271846222,6.570031073010036,6.602019514658922,163
7.061038200729455,7.301613611875179,6.622897020751535,6.6734720240541545,164
6.953080882378477,7.187617550933384,6.562982897201817,6.505111208482072,165
7.271487050581691,7.506174410396859,6.903698651696566,6.6909797590840965,166
6.55564376184934,6.440981208056063,5.9825965935313565,5.900517711610852,167
7.313588833633326,7.475142665315577,6.870860526867601,6.77549780489828,168
5.92414537863814,5.45858910329661,5.377861361350872,5.3639159245456955,169
6.856818917777923,7.106726311373904,6.524356083122864,6.37779427345963,170
6.324284114170627,6.446612788195193,5.902196097576514,5.860187301106144,171
7.110937438191636,7.349510168801394,6.62535325855967,6.5800378313457735,172
6.836819824022898,7.074096564012703,6.431176021313332,6.250268815355583,173
6.983895883395216,7.119996177373146,6.453123931712533,6.395222813337404,174
6.744695092127319,6.609575445255733,6.169318911977145,6.155396019629907,175
6.964947075915785,7.162973691386866,6.520296134525963,6.4738313029343075,176
5.013665322454879,4.548460927230933,4.410693337300041,4.3026288978329195,177
5.505014372689315,5.262441445317041,5.080415346094604,5.002328083938156,178
6.553959350841137,6.78372585061844,6.273170020010921,6.32476460144274,179
5.5953323478407295,5.369326591670182,5.130512583012595,5.092579208179782,180
6.635422961321314,6.969413393449355,6.444932830091861,6.408559072052602,181
7.308960173747677,7.639447283365465,6.999359540122892,6.910455187622138,182
5.284657325275288,5.027820052865594,4.848222903229735,4.809266249623379,183
6.1835099892508145,6.129527153628237,5.87101142028449,5.857796466370424,184
7.098651404753702,7.387068381207637,6.846822197830896,6.756916681380225,185
7.057460651823495,7.232663970491551,6.708932952905258,6.672079590298355,186
6.77032800038069,7.024151457543173,6.415342937290393,6.4001657301207535,187
6.59775985942264,6.769654814121091,6.338806092055725,6.310990818657505,188
4.688330577718642,4.595645313498979,4.603764717860018,4.5499284483555975,189
4.28256614462212,3.7274976367119375,3.607413626574235,3.946549318034361,190
6.51534907705666,6.726528442603863,6.2483009854122455,6.158669354481867,191
6.765040457710596,6.8745553566948825,6.443369019494232,6.394955031697699,192
6.52603842080137,6.691890776175332,6.190624173986975,6.170170689451605,193
6.2305274792644845,6.244094941485478,5.819352204227879,5.778863720816367,194
6.598765930577491,6.719389758971371,6.1933413919214555,6.19239206242303,195
7.224083593235521,7.162131836155346,6.664641301137476,6.597511881963174,196
6.853122239335029,7.0204584556535,6.403365379439987,6.32234547918481,197
6.945863430390202,6.990366657142591,6.440327457505537,6.335502001121227,198
5.783946096446875,5.747743656840749,5.270736002399056,5.199262552676516,199
6.087250494093226,5.988025659880318,5.781801441066076,5.612052373313145,200
7.048937867742393,7.317425949318651,6.706497065633338,6.7612381357525555,201
6.510300645631342,6.609597245592243,6.06271394798497,6.026106450559411,202
6.767918451371824,6.862013980844516,6.358011996135654,6.184060987318954,203
7.272566855125424,7.408170557232796,6.903407174416473,6.819598338184294,204
6.497098304277098,6.507144724672811,6.060340316065236,5.96258331991652,205
7.043493183834383,7.076691139763915,6.462114072615236,6.352629627565399,206
7.009569208461026,7.229842308690948,6.595008756897915,6.530126564395216,207
6.6793759993846935,6.7176400563069185,6.185576943709319,6.126300056096104,208
6.2559552009455075,6.117429735255511,5.681117508468086,5.551488307885209,209
6.926759136283509,7.183611609104387,6.523074742020446,6.403085375889063,210
6.179291633105225,6.055378261260747,5.7314576819104435,5.514769962304403,211
6.8487177201251175,6.977163940048337,6.377390161530499,6.254875783031994,212
6.719746813645629,6.792962135417117,6.306222204341253,6.257578014457309,213
6.812740411706743,6.766163745094655,6.441701785490498,6.239545529263758,214
6.195831456012566,6.14770286614716,5.90490528270508,5.616974641625722,215
6.646814825829358,6.6251467765788865,6.200824979316704,6.015380696051591,216
6.876755687183511,6.965259703892373,6.4490216450765505,6.346803068522234,217
6.954196167117263,7.119596780555622,6.545537632118541,6.482159011030156,218
6.703128024481635,6.77209231505662,6.325696965188438,6.187241697081111,219
7.168059490237036,7.392067816069388,6.723416863930416,6.565366336418541,220
7.088022351535421,7.256387074460797,6.633144750520692,6.560174455191953,221
7.047450051761171,7.09081130138553,6.457944229541922,6.396926312350344,222
6.271038585415822,6.240732099915647,5.833390320461588,5.780941885016039,223
6.639410604384385,6.500984131946822,6.211434300867166,6.183990904580032,224
6.265046934684917,6.323931625141104,5.731782532215349,5.634007152251657,225
7.198380184238297,7.617900559845685,6.913734264659177,7.08664104490871,226
6.8029225451510245,6.884599818614381,6.35978419768513,6.329090444502995,227
6.852738820423217,7.068830093025726,6.544203368033495,6.548171004031279,228
6.836131815298056,7.032832841964688,6.384757841664949,6.322716944309369,229
6.261658873834104,6.092713242804478,5.668933714900063,5.6505206550507845,230
6.828353930588427,6.872814995914951,6.266804789196451,6.217527999698848,231
7.05542740363136,7.05139014697593,6.568841771756652,6.576952199244897,232
6.978113875719247,6.996025352355412,6.372607972450783,6.345994014323297,233
6.950994388512944,7.05820117729283,6.482889621508272,6.3890846180536975,234
6.505559932695762,6.603584312765149,6.1631441084163425,6.104886627081762,235
3.992170441696993,3.7805135366913745,3.889667517293046,3.771080200184067,236
